task_id,nearest_neighbor_task_id,nearest_neighbor_distance,nearest_neighbor_used_run_config,accuracy,balanced_accuracy,precision,precision_micro,precision_macro,recall,recall_micro,recall_macro,f1_micro,f1_macro,jaccard_micro,jaccard_macro
166951,75180,0.1235106349961092,ensemble-learners/el_task-75180_ens-size-10_budget-m-2000_budget-f-100_seed-677.pkl,0.8484848484848485,0.8386688505062537,[0.88709677 0.82524272],0.8484848484848485,0.8561697463200751,[0.75342466 0.92391304],0.8484848484848485,0.8386688505062537,0.8484848484848486,0.8433048433048433,0.7368421052631579,0.7301136363636364
166956,166958,0.14762586341206146,ensemble-learners/el_task-166958_ens-size-5_budget-m-2000_budget-f-100_seed-467.pkl,0.967391304347826,0.8275193798449612,[0.97701149 0.8       ],0.967391304347826,0.8885057471264368,[0.98837209 0.66666667],0.967391304347826,0.8275193798449612,0.967391304347826,0.8549658434051497,0.9368421052631579,0.7686688311688312
166958,166956,0.14762586341204942,ensemble-learners/el_task-166956_ens-size-5_budget-m-2000_budget-f-100_seed-450.pkl,0.9945652173913043,0.9444444444444444,[0.99431818 1.        ],0.9945652173913043,0.9971590909090908,[1.         0.88888889],0.9945652173913043,0.9444444444444444,0.9945652173913043,0.9691637338696162,0.9891891891891892,0.9416035353535352
167085,279,1.4759646102279895,ensemble-learners/el_task-279_ens-size-20_budget-m-2000_budget-f-100_seed-496.pkl,0.553030303030303,0.552313811075854,[0.54216867 0.56272401],0.553030303030303,0.5524463445178563,[0.52529183 0.57933579],0.553030303030303,0.552313811075854,0.553030303030303,0.5522529644268774,0.38219895287958117,0.3816862478824167
167086,167089,0.193210438676148,ensemble-learners/el_task-167089_ens-size-15_budget-m-2000_budget-f-100_seed-211.pkl,0.6306818181818182,0.6335879506654989,[0.596875   0.68269231],0.6306818181818182,0.6397836538461539,[0.74319066 0.52398524],0.6306818181818182,0.6335879506654989,0.6306818181818182,0.6274734697864919,0.4605809128630705,0.45809181900647283
167089,167086,0.19321043867615262,ensemble-learners/el_task-167086_ens-size-5_budget-m-2000_budget-f-100_seed-164.pkl,0.6515151515151515,0.6525765646761525,[0.62897527 0.67755102],0.6515151515151515,0.6532631427129156,[0.692607   0.61254613],0.6515151515151515,0.6525765646761525,0.6515151515151515,0.6513350559862188,0.48314606741573035,0.4829992107340174
189863,146594,0.5958121341656064,ensemble-learners/el_task-146594_ens-size-10_budget-m-2000_budget-f-100_seed-702.pkl,0.8706563706563707,0.8707934058643528,[0.85822306 0.88362919],0.8706563706563707,0.8709261268516757,[0.88499025 0.85659656],0.8706563706563707,0.8707934058643528,0.8706563706563707,0.8706520321264186,0.770940170940171,0.7709341468546181
189875,189899,1.129600576209899,ensemble-learners/el_task-189899_ens-size-10_budget-m-2000_budget-f-100_seed-919.pkl,0.6216666666666667,0.3430033399515559,[0.62912693 0.50369276 0.43396226 0.8        0.73536896],0.6216666666666667,0.6204301817957628,[0.9245283  0.22901276 0.04637097 0.08695652 0.42814815],0.6216666666666667,0.3430033399515559,0.6216666666666667,0.36909217638054587,0.45102781136638453,0.25701307121818984
189881,189882,0.049200826911191736,ensemble-learners/el_task-189882_ens-size-5_budget-m-2000_budget-f-100_seed-170.pkl,0.9041916167664671,0.1991208791208791,[0.92073171 0.         0.         0.         0.        ],0.9096385542168675,0.18414634146341463,[0.9956044 0.        0.        0.        0.       ],0.9041916167664671,0.1991208791208791,0.906906906906907,0.19134107708553325,0.8296703296703297,0.1834008097165992
189882,189881,0.04920082691118271,ensemble-learners/el_task-189881_ens-size-5_budget-m-2000_budget-f-100_seed-281.pkl,0.8917835671342685,0.2593133583021224,[0.90554415 0.375      0.         1.         0.        ],0.8917835671342685,0.45610882956878845,[0.99101124 0.25       0.         0.05555556 0.        ],0.8917835671342685,0.2593133583021224,0.8917835671342687,0.27032301784504187,0.8047016274864376,0.22603862998016586
189887,189902,0.006311527294287372,ensemble-learners/el_task-189902_ens-size-10_budget-m-2000_budget-f-100_seed-384.pkl,0.9632888349514563,0.2515491055192837,[0.96958525 0.         0.         0.         0.46341463],0.9632888349514563,0.2865999775205125,[0.99747155 0.         0.         0.         0.26027397],0.9632888349514563,0.2515491055192837,0.9632888349514563,0.2633328140416472,0.929177641205736,0.23344161814281333
189890,189887,0.1178975784941987,ensemble-learners/el_task-189887_ens-size-5_budget-m-2000_budget-f-100_seed-580.pkl,0.9376731301939059,0.19985239852398523,[0.93897365 0.         0.         0.         0.        ],0.9376731301939059,0.18779472954230236,[0.99926199 0.         0.         0.         0.        ],0.9376731301939059,0.19985239852398523,0.9376731301939059,0.19363603861279943,0.8826597131681877,0.18766458766458766
189894,189882,0.27933262635393097,ensemble-learners/el_task-189882_ens-size-5_budget-m-2000_budget-f-100_seed-170.pkl,0.9179487179487179,0.2,[0.9250646 0.        0.        0.        0.       ],0.9250645994832042,0.18501291989664084,[0.99168975 0.         0.         0.         0.        ],0.9179487179487179,0.19833795013850414,0.9214929214929215,0.1914438502673797,0.8544152744630071,0.1835897435897436
189899,75223,0.7210168880638174,ensemble-learners/el_task-75223_ens-size-15_budget-m-2000_budget-f-100_seed-464.pkl,0.2591093117408907,0.18269646409445323,"[0.2        0.11111111 0.4137931  0.28813559 0.15384615 0.08823529
 0.10526316 0.08333333]",0.2591093117408907,0.18046471837144965,"[0.04       0.08695652 0.61016949 0.38636364 0.09090909 0.10344828
 0.10526316 0.03846154]",0.2591093117408907,0.18269646409445323,0.2591093117408907,0.16936174511906066,0.14883720930232558,0.10048757487109533
189902,189887,0.006311527294287372,ensemble-learners/el_task-189887_ens-size-5_budget-m-2000_budget-f-100_seed-580.pkl,0.9688809096349491,0.26159939150733075,[0.97366031 0.         0.         0.         0.56410256],0.9688809096349491,0.3075525745825473,[0.9981378  0.         0.         0.         0.30985915],0.9688809096349491,0.26159939150733075,0.9688809096349491,0.2771494252873563,0.9396401625072548,0.24437896645512242
